Year,State,District,Crop,Area_ha,Irrigation_Days,Pump_Type,Water_L_per_ha_day,Efficiency,Total_Water_Used_L,Carbon_Emissions_kg,Solar_Used
2020,Punjab,Patiala,Sugarcane,17,70,Electric,18000,0.8,17136000.0,25704.0,0
2020,Punjab,Amritsar,Paddy,18,165,Diesel,15000,1.0,44550000.0,119394.0,0
2017,Punjab,Bathinda,Sugarcane,7,162,Diesel,18000,1.0,20412000.0,54704.16,0
2021,Punjab,Patiala,Maize,42,126,Electric,4000,0.8,16934400.0,25401.600000000002,0
2017,Haryana,Karnal,Cotton,40,112,Diesel,7000,1.0,31360000.0,84044.8,0
2022,Punjab,Jalandhar,Cotton,31,102,Electric,7000,0.8,17707200.0,26560.800000000003,0
2016,Punjab,Ludhiana,Wheat,26,115,Diesel,5000,1.0,14950000.0,40066.0,0
2019,Haryana,Hisar,Sugarcane,6,122,Diesel,18000,1.0,13176000.0,35311.68,0
2017,Punjab,Jalandhar,Mustard,21,126,Diesel,4500,1.0,11907000.0,31910.760000000002,0
2022,Haryana,Hisar,Cotton,45,95,Diesel,7000,1.0,29925000.0,80199.0,0
2020,Punjab,Jalandhar,Wheat,24,103,Diesel,5000,1.0,12360000.0,33124.8,0
2022,Haryana,Panipat,Paddy,47,78,Diesel,15000,1.0,54990000.0,147373.2,0
2019,Haryana,Hisar,Sugarcane,27,168,Diesel,18000,1.0,81648000.0,218816.64,0
2022,Punjab,Bathinda,Mustard,16,66,Diesel,4500,1.0,4752000.0,12735.36,0
2023,Punjab,Ludhiana,Wheat,39,104,Diesel,5000,1.0,20280000.0,54350.4,0
2023,Punjab,Bathinda,Sugarcane,48,113,Diesel,18000,1.0,97632000.0,261653.76,0
2018,Punjab,Bathinda,Maize,17,94,Diesel,4000,1.0,6392000.0,17130.56,0
2023,Haryana,Rohtak,Wheat,45,169,Electric,5000,0.8,30420000.0,45630.0,0
2016,Punjab,Amritsar,Paddy,31,66,Diesel,15000,1.0,30690000.0,82249.20000000001,0
2016,Haryana,Karnal,Paddy,38,172,Diesel,15000,1.0,98040000.0,262747.2,0
2018,Haryana,Panipat,Wheat,16,79,Diesel,5000,1.0,6320000.0,16937.600000000002,0
2016,Haryana,Gurgaon,Maize,47,142,Solar,4000,0.6,16017600.0,0.0,1
2016,Haryana,Gurgaon,Wheat,11,95,Diesel,5000,1.0,5225000.0,14003.0,0
2022,Haryana,Hisar,Cotton,5,84,Electric,7000,0.8,2352000.0,3528.0,0
2019,Haryana,Karnal,Wheat,24,107,Diesel,5000,1.0,12840000.0,34411.200000000004,0
2016,Haryana,Panipat,Cotton,43,156,Diesel,7000,1.0,46956000.0,125842.08,0
2019,Punjab,Patiala,Sugarcane,17,91,Diesel,18000,1.0,27846000.0,74627.28,0
2022,Punjab,Jalandhar,Paddy,42,164,Electric,15000,0.8,82656000.0,123984.0,0
2020,Haryana,Hisar,Sugarcane,35,76,Electric,18000,0.8,38304000.0,57456.0,0
2016,Punjab,Patiala,Mustard,36,171,Solar,4500,0.6,16621200.0,0.0,1
2019,Punjab,Bathinda,Wheat,31,147,Electric,5000,0.8,18228000.0,27342.0,0
2023,Punjab,Amritsar,Paddy,8,135,Electric,15000,0.8,12960000.0,19440.0,0
2018,Haryana,Rohtak,Maize,9,61,Diesel,4000,1.0,2196000.0,5885.280000000001,0
2021,Haryana,Karnal,Maize,41,87,Electric,4000,0.8,11414400.0,17121.6,0
2017,Punjab,Jalandhar,Wheat,8,64,Diesel,5000,1.0,2560000.0,6860.8,0
2023,Haryana,Gurgaon,Sugarcane,21,137,Diesel,18000,1.0,51786000.0,138786.48,0
2018,Haryana,Rohtak,Wheat,3,171,Diesel,5000,1.0,2565000.0,6874.200000000001,0
2016,Punjab,Ludhiana,Maize,24,64,Solar,4000,0.6,3686400.0,0.0,1
2018,Haryana,Panipat,Wheat,30,161,Diesel,5000,1.0,24150000.0,64722.00000000001,0
2020,Haryana,Hisar,Sugarcane,8,66,Diesel,18000,1.0,9504000.0,25470.72,0
2019,Haryana,Karnal,Sugarcane,13,158,Diesel,18000,1.0,36972000.0,99084.96,0
2022,Haryana,Gurgaon,Wheat,19,137,Diesel,5000,1.0,13015000.0,34880.200000000004,0
2018,Punjab,Ludhiana,Paddy,38,169,Solar,15000,0.6,57798000.0,0.0,1
2016,Haryana,Rohtak,Paddy,38,74,Electric,15000,0.8,33744000.0,50616.0,0
2022,Haryana,Karnal,Sugarcane,34,112,Diesel,18000,1.0,68544000.0,183697.92,0
2020,Haryana,Gurgaon,Wheat,35,107,Solar,5000,0.6,11235000.0,0.0,1
2021,Punjab,Ludhiana,Mustard,17,118,Diesel,4500,1.0,9027000.0,24192.36,0
2021,Haryana,Rohtak,Cotton,12,134,Electric,7000,0.8,9004800.0,13507.199999999999,0
2020,Haryana,Gurgaon,Maize,18,105,Electric,4000,0.8,6048000.0,9072.0,0
2021,Punjab,Jalandhar,Maize,45,121,Electric,4000,0.8,17424000.0,26136.0,0
2020,Punjab,Amritsar,Sugarcane,30,155,Diesel,18000,1.0,83700000.0,224316.0,0
2021,Punjab,Patiala,Paddy,25,94,Electric,15000,0.8,28200000.0,42300.0,0
2019,Punjab,Amritsar,Sugarcane,20,179,Electric,18000,0.8,51552000.0,77328.0,0
2019,Haryana,Gurgaon,Maize,26,167,Diesel,4000,1.0,17368000.0,46546.240000000005,0
2020,Punjab,Jalandhar,Wheat,21,72,Solar,5000,0.6,4536000.0,0.0,1
2023,Punjab,Bathinda,Mustard,5,125,Diesel,4500,1.0,2812500.0,7537.5,0
2021,Haryana,Rohtak,Mustard,16,81,Diesel,4500,1.0,5832000.0,15629.76,0
2020,Punjab,Ludhiana,Maize,45,87,Solar,4000,0.6,9396000.0,0.0,1
2022,Punjab,Patiala,Sugarcane,21,88,Diesel,18000,1.0,33264000.0,89147.52,0
2018,Punjab,Jalandhar,Paddy,41,163,Diesel,15000,1.0,100245000.0,268656.60000000003,0
2022,Punjab,Bathinda,Wheat,45,118,Electric,5000,0.8,21240000.0,31860.0,0
2019,Punjab,Patiala,Sugarcane,19,112,Electric,18000,0.8,30643200.0,45964.8,0
2021,Punjab,Bathinda,Mustard,4,80,Diesel,4500,1.0,1440000.0,3859.2000000000003,0
2016,Punjab,Amritsar,Sugarcane,32,103,Diesel,18000,1.0,59328000.0,158999.04,0
2023,Punjab,Bathinda,Cotton,30,91,Diesel,7000,1.0,19110000.0,51214.8,0
2023,Haryana,Karnal,Wheat,34,127,Solar,5000,0.6,12954000.0,0.0,1
2022,Haryana,Gurgaon,Mustard,11,173,Electric,4500,0.8,6850800.0,10276.2,0
2020,Punjab,Patiala,Wheat,12,127,Electric,5000,0.8,6096000.0,9144.0,0
2016,Punjab,Amritsar,Maize,11,172,Solar,4000,0.6,4540800.0,0.0,1
2016,Punjab,Ludhiana,Mustard,28,67,Diesel,4500,1.0,8442000.0,22624.56,0
2022,Haryana,Hisar,Cotton,36,131,Diesel,7000,1.0,33012000.0,88472.16,0
2022,Punjab,Ludhiana,Cotton,49,83,Diesel,7000,1.0,28469000.0,76296.92,0
2016,Haryana,Rohtak,Paddy,15,169,Diesel,15000,1.0,38025000.0,101907.0,0
2021,Haryana,Gurgaon,Mustard,21,158,Electric,4500,0.8,11944800.0,17917.199999999997,0
2020,Punjab,Jalandhar,Mustard,3,101,Electric,4500,0.8,1090800.0,1636.1999999999998,0
2018,Haryana,Karnal,Cotton,18,103,Diesel,7000,1.0,12978000.0,34781.04,0
2018,Haryana,Karnal,Mustard,45,73,Diesel,4500,1.0,14782500.0,39617.100000000006,0
2017,Punjab,Amritsar,Sugarcane,27,109,Diesel,18000,1.0,52974000.0,141970.32,0
2023,Haryana,Hisar,Paddy,13,110,Diesel,15000,1.0,21450000.0,57486.0,0
2023,Haryana,Panipat,Cotton,45,128,Diesel,7000,1.0,40320000.0,108057.6,0
2018,Punjab,Amritsar,Wheat,27,158,Diesel,5000,1.0,21330000.0,57164.4,0
2017,Haryana,Panipat,Paddy,46,156,Diesel,15000,1.0,107640000.0,288475.2,0
2016,Haryana,Hisar,Wheat,36,167,Diesel,5000,1.0,30060000.0,80560.8,0
2016,Punjab,Ludhiana,Wheat,6,162,Diesel,5000,1.0,4860000.0,13024.800000000001,0
2019,Punjab,Patiala,Mustard,44,131,Diesel,4500,1.0,25938000.0,69513.84000000001,0
2021,Haryana,Gurgaon,Maize,7,171,Diesel,4000,1.0,4788000.0,12831.84,0
2018,Punjab,Patiala,Cotton,47,85,Electric,7000,0.8,22372000.0,33558.0,0
2023,Haryana,Panipat,Wheat,9,164,Solar,5000,0.6,4428000.0,0.0,1
2022,Haryana,Panipat,Maize,20,103,Diesel,4000,1.0,8240000.0,22083.2,0
2023,Haryana,Gurgaon,Maize,16,176,Solar,4000,0.6,6758400.0,0.0,1
2020,Haryana,Panipat,Sugarcane,39,154,Diesel,18000,1.0,108108000.0,289729.44,0
2016,Punjab,Amritsar,Wheat,5,153,Diesel,5000,1.0,3825000.0,10251.0,0
2017,Punjab,Ludhiana,Maize,35,131,Diesel,4000,1.0,18340000.0,49151.200000000004,0
2018,Haryana,Karnal,Maize,23,174,Diesel,4000,1.0,16008000.0,42901.44,0
2019,Punjab,Patiala,Sugarcane,14,132,Electric,18000,0.8,26611200.0,39916.8,0
2018,Haryana,Gurgaon,Sugarcane,18,168,Electric,18000,0.8,43545600.0,65318.399999999994,0
2021,Haryana,Panipat,Wheat,44,63,Electric,5000,0.8,11088000.0,16632.0,0
2020,Haryana,Rohtak,Sugarcane,32,133,Diesel,18000,1.0,76608000.0,205309.44,0
2020,Punjab,Jalandhar,Cotton,36,90,Diesel,7000,1.0,22680000.0,60782.4,0
2016,Punjab,Amritsar,Sugarcane,41,124,Diesel,18000,1.0,91512000.0,245252.16,0
2019,Haryana,Gurgaon,Sugarcane,39,68,Electric,18000,0.8,38188800.0,57283.200000000004,0
2021,Haryana,Gurgaon,Sugarcane,25,70,Diesel,18000,1.0,31500000.0,84420.0,0
2019,Punjab,Bathinda,Wheat,24,74,Electric,5000,0.8,7104000.0,10656.0,0
2022,Punjab,Bathinda,Paddy,16,99,Diesel,15000,1.0,23760000.0,63676.8,0
2018,Haryana,Karnal,Paddy,26,109,Solar,15000,0.6,25506000.0,0.0,1
2018,Haryana,Karnal,Paddy,21,102,Diesel,15000,1.0,32130000.0,86108.40000000001,0
2018,Punjab,Jalandhar,Wheat,4,69,Diesel,5000,1.0,1380000.0,3698.4,0
2020,Punjab,Patiala,Paddy,4,84,Solar,15000,0.6,3024000.0,0.0,1
2017,Haryana,Rohtak,Cotton,35,72,Electric,7000,0.8,14112000.0,21168.0,0
2022,Punjab,Jalandhar,Wheat,20,136,Diesel,5000,1.0,13600000.0,36448.0,0
2022,Haryana,Gurgaon,Wheat,34,67,Diesel,5000,1.0,11390000.0,30525.2,0
2019,Haryana,Panipat,Cotton,38,64,Diesel,7000,1.0,17024000.0,45624.32,0
2017,Punjab,Patiala,Paddy,29,156,Diesel,15000,1.0,67860000.0,181864.80000000002,0
2018,Haryana,Panipat,Paddy,28,141,Diesel,15000,1.0,59220000.0,158709.6,0
2018,Haryana,Gurgaon,Cotton,25,109,Solar,7000,0.6,11445000.0,0.0,1
2020,Haryana,Panipat,Maize,41,105,Diesel,4000,1.0,17220000.0,46149.600000000006,0
2018,Punjab,Patiala,Maize,33,155,Electric,4000,0.8,16368000.0,24552.0,0
2021,Punjab,Bathinda,Paddy,13,127,Solar,15000,0.6,14859000.0,0.0,1
2016,Haryana,Hisar,Paddy,3,126,Solar,15000,0.6,3402000.0,0.0,1
2017,Punjab,Amritsar,Mustard,14,112,Diesel,4500,1.0,7056000.0,18910.08,0
2020,Punjab,Bathinda,Wheat,9,89,Diesel,5000,1.0,4005000.0,10733.400000000001,0
2018,Haryana,Panipat,Sugarcane,2,118,Diesel,18000,1.0,4248000.0,11384.640000000001,0
2018,Haryana,Panipat,Wheat,5,159,Electric,5000,0.8,3180000.0,4770.0,0
2018,Punjab,Ludhiana,Wheat,8,171,Electric,5000,0.8,5472000.0,8208.0,0
2019,Punjab,Bathinda,Paddy,22,169,Electric,15000,0.8,44616000.0,66924.0,0
2020,Punjab,Bathinda,Wheat,19,139,Diesel,5000,1.0,13205000.0,35389.4,0
2021,Haryana,Rohtak,Maize,35,92,Diesel,4000,1.0,12880000.0,34518.4,0
2019,Punjab,Patiala,Maize,15,147,Electric,4000,0.8,7056000.0,10584.0,0
2018,Haryana,Panipat,Paddy,22,138,Diesel,15000,1.0,45540000.0,122047.20000000001,0
2016,Haryana,Rohtak,Maize,4,106,Electric,4000,0.8,1356800.0,2035.1999999999998,0
2016,Punjab,Ludhiana,Sugarcane,17,123,Diesel,18000,1.0,37638000.0,100869.84000000001,0
2020,Punjab,Amritsar,Wheat,40,157,Diesel,5000,1.0,31400000.0,84152.0,0
2021,Punjab,Bathinda,Wheat,47,92,Electric,5000,0.8,17296000.0,25944.0,0
2017,Haryana,Hisar,Maize,4,166,Diesel,4000,1.0,2656000.0,7118.080000000001,0
2022,Haryana,Hisar,Paddy,49,159,Diesel,15000,1.0,116865000.0,313198.2,0
2018,Punjab,Patiala,Maize,24,107,Solar,4000,0.6,6163200.0,0.0,1
2023,Haryana,Panipat,Paddy,10,116,Solar,15000,0.6,10440000.0,0.0,1
2023,Haryana,Panipat,Maize,3,78,Diesel,4000,1.0,936000.0,2508.48,0
2016,Punjab,Ludhiana,Paddy,29,165,Solar,15000,0.6,43065000.0,0.0,1
2023,Haryana,Hisar,Maize,32,176,Electric,4000,0.8,18022400.0,27033.600000000002,0
2020,Punjab,Amritsar,Maize,4,169,Diesel,4000,1.0,2704000.0,7246.72,0
2020,Punjab,Bathinda,Wheat,14,148,Electric,5000,0.8,8288000.0,12432.0,0
2019,Haryana,Panipat,Wheat,24,105,Solar,5000,0.6,7560000.0,0.0,1
2017,Punjab,Amritsar,Maize,14,137,Diesel,4000,1.0,7672000.0,20560.960000000003,0
2017,Punjab,Jalandhar,Maize,20,143,Diesel,4000,1.0,11440000.0,30659.2,0
2019,Punjab,Jalandhar,Sugarcane,16,131,Solar,18000,0.6,22636800.0,0.0,1
2020,Punjab,Amritsar,Maize,24,137,Diesel,4000,1.0,13152000.0,35247.36,0
2020,Punjab,Amritsar,Mustard,20,85,Electric,4500,0.8,6120000.0,9180.0,0
2019,Punjab,Bathinda,Sugarcane,24,128,Diesel,18000,1.0,55296000.0,148193.28,0
2018,Haryana,Rohtak,Cotton,21,116,Diesel,7000,1.0,17052000.0,45699.36,0
2016,Punjab,Bathinda,Maize,9,176,Diesel,4000,1.0,6336000.0,16980.48,0
2016,Haryana,Panipat,Mustard,24,61,Diesel,4500,1.0,6588000.0,17655.84,0
2023,Punjab,Amritsar,Paddy,12,158,Diesel,15000,1.0,28440000.0,76219.20000000001,0
2023,Punjab,Patiala,Sugarcane,44,130,Electric,18000,0.8,82368000.0,123552.0,0
2017,Punjab,Bathinda,Maize,16,86,Diesel,4000,1.0,5504000.0,14750.720000000001,0
2019,Punjab,Patiala,Mustard,31,120,Electric,4500,0.8,13392000.0,20088.0,0
2016,Haryana,Hisar,Wheat,16,118,Diesel,5000,1.0,9440000.0,25299.2,0
2021,Haryana,Rohtak,Paddy,49,65,Diesel,15000,1.0,47775000.0,128037.00000000001,0
2023,Punjab,Amritsar,Maize,5,108,Diesel,4000,1.0,2160000.0,5788.8,0
2020,Punjab,Ludhiana,Paddy,48,73,Diesel,15000,1.0,52560000.0,140860.80000000002,0
2017,Haryana,Gurgaon,Sugarcane,6,173,Diesel,18000,1.0,18684000.0,50073.12,0
2016,Punjab,Ludhiana,Maize,14,158,Diesel,4000,1.0,8848000.0,23712.640000000003,0
2019,Punjab,Jalandhar,Sugarcane,33,84,Solar,18000,0.6,29937600.0,0.0,1
2017,Punjab,Bathinda,Wheat,19,148,Electric,5000,0.8,11248000.0,16872.0,0
2022,Haryana,Gurgaon,Wheat,4,81,Diesel,5000,1.0,1620000.0,4341.6,0
2018,Punjab,Ludhiana,Paddy,17,119,Diesel,15000,1.0,30345000.0,81324.6,0
2016,Haryana,Rohtak,Sugarcane,12,107,Diesel,18000,1.0,23112000.0,61940.16,0
2023,Punjab,Jalandhar,Cotton,9,72,Diesel,7000,1.0,4536000.0,12156.480000000001,0
2021,Haryana,Hisar,Wheat,2,151,Solar,5000,0.6,906000.0,0.0,1
2016,Haryana,Karnal,Maize,13,159,Electric,4000,0.8,6614400.0,9921.599999999999,0
2018,Haryana,Panipat,Mustard,19,178,Diesel,4500,1.0,15219000.0,40786.920000000006,0
2016,Punjab,Bathinda,Sugarcane,5,122,Diesel,18000,1.0,10980000.0,29426.4,0
2023,Haryana,Karnal,Maize,15,132,Diesel,4000,1.0,7920000.0,21225.600000000002,0
2016,Punjab,Patiala,Maize,25,90,Diesel,4000,1.0,9000000.0,24120.0,0
2019,Haryana,Hisar,Wheat,44,111,Diesel,5000,1.0,24420000.0,65445.600000000006,0
2018,Haryana,Rohtak,Paddy,36,81,Diesel,15000,1.0,43740000.0,117223.20000000001,0
2023,Punjab,Jalandhar,Wheat,3,164,Diesel,5000,1.0,2460000.0,6592.8,0
2021,Haryana,Karnal,Paddy,34,128,Diesel,15000,1.0,65280000.0,174950.40000000002,0
2016,Punjab,Jalandhar,Mustard,21,150,Diesel,4500,1.0,14175000.0,37989.0,0
2018,Haryana,Hisar,Sugarcane,49,130,Electric,18000,0.8,91728000.0,137592.0,0
2023,Haryana,Karnal,Sugarcane,47,83,Diesel,18000,1.0,70218000.0,188184.24000000002,0
2019,Haryana,Karnal,Wheat,8,105,Diesel,5000,1.0,4200000.0,11256.0,0
2016,Haryana,Rohtak,Cotton,23,137,Solar,7000,0.6,13234200.0,0.0,1
2019,Haryana,Rohtak,Paddy,38,94,Solar,15000,0.6,32148000.0,0.0,1
2017,Haryana,Panipat,Cotton,14,80,Diesel,7000,1.0,7840000.0,21011.2,0
2018,Punjab,Ludhiana,Mustard,33,98,Solar,4500,0.6,8731800.0,0.0,1
2022,Punjab,Jalandhar,Maize,44,75,Diesel,4000,1.0,13200000.0,35376.0,0
2020,Haryana,Rohtak,Paddy,7,166,Diesel,15000,1.0,17430000.0,46712.4,0
2019,Punjab,Ludhiana,Cotton,32,81,Electric,7000,0.8,14515200.0,21772.800000000003,0
2018,Haryana,Hisar,Paddy,47,148,Diesel,15000,1.0,104340000.0,279631.2,0
2023,Punjab,Bathinda,Maize,26,158,Solar,4000,0.6,9859200.0,0.0,1
2021,Punjab,Ludhiana,Maize,10,71,Diesel,4000,1.0,2840000.0,7611.200000000001,0
2017,Haryana,Karnal,Sugarcane,8,142,Electric,18000,0.8,16358400.0,24537.6,0
2020,Haryana,Rohtak,Sugarcane,47,146,Solar,18000,0.6,74109600.0,0.0,1
2017,Haryana,Panipat,Cotton,13,178,Solar,7000,0.6,9718800.0,0.0,1
2022,Haryana,Rohtak,Paddy,16,123,Solar,15000,0.6,17712000.0,0.0,1
2022,Punjab,Jalandhar,Mustard,22,60,Diesel,4500,1.0,5940000.0,15919.2,0
2017,Punjab,Ludhiana,Mustard,5,171,Diesel,4500,1.0,3847500.0,10311.300000000001,0
2021,Punjab,Bathinda,Sugarcane,39,116,Electric,18000,0.8,65145600.0,97718.4,0
2022,Punjab,Jalandhar,Wheat,12,138,Diesel,5000,1.0,8280000.0,22190.4,0
2019,Haryana,Panipat,Mustard,9,70,Electric,4500,0.8,2268000.0,3402.0,0
2019,Haryana,Rohtak,Maize,26,121,Electric,4000,0.8,10067200.0,15100.800000000001,0
2020,Haryana,Hisar,Mustard,8,142,Electric,4500,0.8,4089600.0,6134.4,0
2020,Haryana,Panipat,Cotton,7,69,Electric,7000,0.8,2704800.0,4057.2000000000003,0
2023,Punjab,Patiala,Wheat,16,165,Diesel,5000,1.0,13200000.0,35376.0,0
2020,Punjab,Amritsar,Maize,30,161,Electric,4000,0.8,15456000.0,23184.0,0
2018,Punjab,Amritsar,Wheat,49,103,Electric,5000,0.8,20188000.0,30282.0,0
2018,Haryana,Rohtak,Wheat,7,121,Diesel,5000,1.0,4235000.0,11349.800000000001,0
2021,Punjab,Patiala,Cotton,29,72,Diesel,7000,1.0,14616000.0,39170.880000000005,0
2019,Haryana,Gurgaon,Paddy,22,73,Diesel,15000,1.0,24090000.0,64561.200000000004,0
2023,Haryana,Rohtak,Cotton,9,104,Diesel,7000,1.0,6552000.0,17559.36,0
2023,Haryana,Karnal,Cotton,21,145,Diesel,7000,1.0,21315000.0,57124.200000000004,0
2016,Haryana,Gurgaon,Maize,37,93,Diesel,4000,1.0,13764000.0,36887.520000000004,0
2023,Punjab,Amritsar,Sugarcane,44,75,Diesel,18000,1.0,59400000.0,159192.0,0
2023,Haryana,Hisar,Wheat,7,118,Electric,5000,0.8,3304000.0,4956.0,0
2018,Punjab,Jalandhar,Wheat,35,94,Diesel,5000,1.0,16450000.0,44086.0,0
2020,Punjab,Jalandhar,Paddy,43,130,Diesel,15000,1.0,83850000.0,224718.0,0
2020,Punjab,Jalandhar,Cotton,16,122,Diesel,7000,1.0,13664000.0,36619.520000000004,0
2019,Punjab,Patiala,Maize,33,113,Diesel,4000,1.0,14916000.0,39974.880000000005,0
2017,Haryana,Hisar,Mustard,44,67,Diesel,4500,1.0,13266000.0,35552.880000000005,0
2021,Punjab,Ludhiana,Cotton,45,106,Diesel,7000,1.0,33390000.0,89485.20000000001,0
2016,Haryana,Karnal,Wheat,39,78,Diesel,5000,1.0,15210000.0,40762.8,0
2016,Haryana,Panipat,Wheat,27,83,Diesel,5000,1.0,11205000.0,30029.4,0
2020,Haryana,Hisar,Paddy,19,108,Diesel,15000,1.0,30780000.0,82490.40000000001,0
2019,Punjab,Bathinda,Mustard,16,156,Electric,4500,0.8,8985600.0,13478.400000000001,0
2021,Haryana,Rohtak,Sugarcane,14,65,Diesel,18000,1.0,16380000.0,43898.4,0
2021,Haryana,Karnal,Paddy,10,167,Electric,15000,0.8,20040000.0,30060.0,0
2023,Haryana,Hisar,Sugarcane,4,124,Diesel,18000,1.0,8928000.0,23927.04,0
2022,Punjab,Amritsar,Mustard,46,125,Solar,4500,0.6,15525000.0,0.0,1
2017,Haryana,Gurgaon,Maize,27,82,Diesel,4000,1.0,8856000.0,23734.08,0
2021,Punjab,Jalandhar,Cotton,4,152,Electric,7000,0.8,3404800.0,5107.200000000001,0
2018,Haryana,Rohtak,Cotton,42,104,Diesel,7000,1.0,30576000.0,81943.68000000001,0
2021,Punjab,Ludhiana,Cotton,41,62,Diesel,7000,1.0,17794000.0,47687.920000000006,0
2019,Punjab,Bathinda,Mustard,19,119,Electric,4500,0.8,8139600.0,12209.400000000001,0
2019,Punjab,Ludhiana,Maize,41,66,Diesel,4000,1.0,10824000.0,29008.320000000003,0
2022,Punjab,Ludhiana,Sugarcane,33,142,Diesel,18000,1.0,84348000.0,226052.64,0
2017,Punjab,Bathinda,Mustard,29,84,Diesel,4500,1.0,10962000.0,29378.160000000003,0
2023,Punjab,Jalandhar,Maize,19,71,Diesel,4000,1.0,5396000.0,14461.28,0
2022,Haryana,Karnal,Wheat,16,114,Diesel,5000,1.0,9120000.0,24441.600000000002,0
2017,Haryana,Hisar,Mustard,27,60,Diesel,4500,1.0,7290000.0,19537.2,0
2021,Punjab,Ludhiana,Sugarcane,17,134,Diesel,18000,1.0,41004000.0,109890.72,0
2019,Punjab,Ludhiana,Maize,35,62,Diesel,4000,1.0,8680000.0,23262.4,0
2019,Haryana,Hisar,Sugarcane,19,105,Diesel,18000,1.0,35910000.0,96238.8,0
2021,Haryana,Gurgaon,Wheat,47,96,Electric,5000,0.8,18048000.0,27072.0,0
2017,Haryana,Hisar,Wheat,45,113,Solar,5000,0.6,15255000.0,0.0,1
2017,Punjab,Amritsar,Maize,29,106,Electric,4000,0.8,9836800.0,14755.199999999999,0
2020,Punjab,Jalandhar,Sugarcane,21,64,Electric,18000,0.8,19353600.0,29030.399999999998,0
2022,Haryana,Panipat,Maize,26,127,Solar,4000,0.6,7924800.0,0.0,1
2020,Punjab,Amritsar,Mustard,33,107,Electric,4500,0.8,12711600.0,19067.4,0
2017,Haryana,Gurgaon,Wheat,34,160,Solar,5000,0.6,16320000.0,0.0,1
2018,Haryana,Rohtak,Wheat,18,177,Solar,5000,0.6,9558000.0,0.0,1
2017,Haryana,Gurgaon,Wheat,29,76,Diesel,5000,1.0,11020000.0,29533.600000000002,0
2022,Punjab,Ludhiana,Mustard,10,92,Diesel,4500,1.0,4140000.0,11095.2,0
2020,Punjab,Patiala,Maize,29,117,Diesel,4000,1.0,13572000.0,36372.96,0
2016,Haryana,Hisar,Sugarcane,23,64,Electric,18000,0.8,21196800.0,31795.199999999997,0
2018,Haryana,Panipat,Sugarcane,22,115,Diesel,18000,1.0,45540000.0,122047.20000000001,0
2020,Haryana,Hisar,Maize,31,166,Diesel,4000,1.0,20584000.0,55165.12,0
2020,Punjab,Bathinda,Wheat,21,162,Diesel,5000,1.0,17010000.0,45586.8,0
2016,Punjab,Patiala,Cotton,36,177,Diesel,7000,1.0,44604000.0,119538.72,0
2016,Haryana,Gurgaon,Maize,35,111,Diesel,4000,1.0,15540000.0,41647.200000000004,0
2019,Haryana,Rohtak,Mustard,25,168,Solar,4500,0.6,11340000.0,0.0,1
2018,Punjab,Jalandhar,Wheat,34,84,Diesel,5000,1.0,14280000.0,38270.4,0
2023,Punjab,Ludhiana,Paddy,34,136,Electric,15000,0.8,55488000.0,83232.0,0
2016,Haryana,Panipat,Cotton,25,76,Solar,7000,0.6,7980000.0,0.0,1
2022,Punjab,Jalandhar,Wheat,19,96,Electric,5000,0.8,7296000.0,10944.0,0
2018,Punjab,Bathinda,Maize,41,89,Electric,4000,0.8,11676800.0,17515.199999999997,0
2022,Haryana,Karnal,Maize,6,93,Diesel,4000,1.0,2232000.0,5981.76,0
2021,Punjab,Bathinda,Paddy,38,133,Diesel,15000,1.0,75810000.0,203170.80000000002,0
2017,Punjab,Jalandhar,Paddy,26,129,Diesel,15000,1.0,50310000.0,134830.80000000002,0
2019,Haryana,Karnal,Cotton,19,70,Electric,7000,0.8,7448000.0,11172.0,0
2018,Punjab,Jalandhar,Sugarcane,49,97,Diesel,18000,1.0,85554000.0,229284.72,0
2021,Punjab,Amritsar,Wheat,15,169,Diesel,5000,1.0,12675000.0,33969.0,0
2018,Punjab,Amritsar,Cotton,5,92,Diesel,7000,1.0,3220000.0,8629.6,0
2022,Haryana,Rohtak,Paddy,26,172,Electric,15000,0.8,53664000.0,80496.0,0
2021,Haryana,Karnal,Mustard,26,160,Electric,4500,0.8,14976000.0,22464.0,0
2020,Haryana,Panipat,Sugarcane,34,90,Diesel,18000,1.0,55080000.0,147614.40000000002,0
2021,Haryana,Karnal,Maize,19,178,Solar,4000,0.6,8116800.0,0.0,1
2018,Haryana,Gurgaon,Sugarcane,12,145,Diesel,18000,1.0,31320000.0,83937.6,0
2017,Haryana,Panipat,Maize,11,83,Diesel,4000,1.0,3652000.0,9787.36,0
2016,Punjab,Amritsar,Mustard,22,171,Solar,4500,0.6,10157400.0,0.0,1
2019,Haryana,Gurgaon,Maize,5,63,Diesel,4000,1.0,1260000.0,3376.8,0
2019,Haryana,Hisar,Cotton,4,145,Diesel,7000,1.0,4060000.0,10880.800000000001,0
2022,Haryana,Karnal,Sugarcane,33,147,Diesel,18000,1.0,87318000.0,234012.24000000002,0
2021,Punjab,Amritsar,Maize,49,79,Diesel,4000,1.0,15484000.0,41497.12,0
2017,Haryana,Gurgaon,Maize,16,98,Diesel,4000,1.0,6272000.0,16808.960000000003,0
2019,Haryana,Karnal,Wheat,4,146,Diesel,5000,1.0,2920000.0,7825.6,0
2017,Punjab,Ludhiana,Mustard,46,94,Diesel,4500,1.0,19458000.0,52147.44,0
